SpotPrice,OptionPrice
80.00,0.05
81.00,0.05
82.00,0.08
83.00,0.11
84.00,0.13
85.00,0.17
86.00,0.22
87.00,0.32
88.00,0.36
89.00,0.50
90.00,0.56
91.00,0.73
92.00,0.86
93.00,1.07
94.00,1.17
95.00,1.45
96.00,1.78
97.00,1.99
98.00,2.35
99.00,2.61
100.00,3.08
101.00,3.47
102.00,3.88
103.00,4.38
104.00,4.94
105.00,5.46
106.00,6.14
107.00,6.75
108.00,7.52
109.00,8.18
110.00,8.92
111.00,9.50
112.00,10.43
113.00,11.19
114.00,11.95
115.00,12.75
116.00,13.50
117.00,14.53
118.00,15.32
119.00,16.35
120.00,17.18
