NumSimulations,TimeNaive,TimeAntithetic
1000.000,2767,3371
6000.000,14522,22940
11000.000,25644,33140
16000.000,30094,37841
21000.000,35002,121649
26000.000,61801,68453
31000.000,65012,106087
36000.000,91124,91550
41000.000,85697,113174
46000.000,86521,124555
51000.000,91070,157576
56000.000,105587,128115
61000.000,84800,122873
66000.000,93712,137819
71000.000,103096,151545
76000.000,169211,212960
81000.000,136857,190217
86000.000,169628,195561
91000.000,126746,190292
96000.000,134196,194268
101000.000,145167,211438
106000.000,152040,234230
111000.000,164695,238534
116000.000,171922,250914
121000.000,175889,256361
126000.000,184629,257688
131000.000,184079,279673
136000.000,202917,289015
141000.000,209469,307526
146000.000,239527,317126
151000.000,225659,319240
156000.000,221136,326761
161000.000,240781,350271
166000.000,241282,347252
171000.000,240769,366098
176000.000,264069,374660
181000.000,272185,376641
186000.000,273649,390954
191000.000,268685,404740
196000.000,290773,410376
201000.000,286524,432024
206000.000,297674,437869
211000.000,312170,443928
216000.000,311635,460873
221000.000,312232,489488
226000.000,322026,485865
231000.000,335990,505429
236000.000,341754,487794
241000.000,355374,510530
246000.000,376700,547570
251000.000,432005,542764
256000.000,375538,568734
261000.000,381498,584954
266000.000,401833,575333
271000.000,415055,570527
276000.000,406614,594988
281000.000,401150,592578
286000.000,418851,612569
291000.000,427902,620588
296000.000,431608,640896
301000.000,433827,645089
306000.000,451526,650208
311000.000,462709,693536
316000.000,484149,705884
321000.000,488872,700137
326000.000,484078,698746
331000.000,482005,703859
336000.000,501703,739036
341000.000,491136,725030
346000.000,529000,767727
351000.000,509540,761840
356000.000,537320,746326
361000.000,524709,792909
366000.000,542889,817086
371000.000,563000,830933
376000.000,549160,798580
381000.000,567998,838255
386000.000,561980,831224
391000.000,569246,854727
396000.000,596942,856192
401000.000,607580,897794
406000.000,598269,848775
411000.000,628917,883962
416000.000,608414,893363
421000.000,617628,931916
426000.000,624077,917369
431000.000,637260,948520
436000.000,655385,925673
441000.000,669818,939390
446000.000,651190,971957
451000.000,661377,965063
456000.000,667440,981036
461000.000,692453,997170
466000.000,676251,1012498
471000.000,697247,1036849
476000.000,703863,1068015
481000.000,721622,1040359
486000.000,752248,1040276
491000.000,716731,1051389
496000.000,727548,1064908
501000.000,740434,1083006
506000.000,763421,1110770
511000.000,753487,1093227
516000.000,754024,1121587
521000.000,785892,1147971
526000.000,783327,1142729
531000.000,801545,1160350
536000.000,795710,1156056
541000.000,797692,1188215
546000.000,826075,1155489
551000.000,815069,1213100
556000.000,810796,1195858
561000.000,854273,1253427
566000.000,867517,1238361
571000.000,863360,1274525
576000.000,877283,1270820
581000.000,844936,1251270
586000.000,873526,1274869
591000.000,867133,1300522
596000.000,905222,1307129
601000.000,910341,1322733
606000.000,888237,1355796
611000.000,920636,1320237
616000.000,915763,1328121
621000.000,927693,1337996
626000.000,927100,1354950
631000.000,966401,1360374
636000.000,977692,1377636
641000.000,975348,1410101
646000.000,974429,1393849
651000.000,957047,1418873
656000.000,987986,1418011
661000.000,986689,1445178
666000.000,1012828,1472406
671000.000,986842,1478972
676000.000,1035515,1450796
681000.000,1003164,1476714
686000.000,1028721,1479370
691000.000,1026787,1517637
696000.000,1047779,1540552
701000.000,1028838,1535445
706000.000,1036788,1521127
711000.000,1061360,1543608
716000.000,1061124,1549956
721000.000,1089003,1586973
726000.000,1103958,1608419
731000.000,1116619,1608759
736000.000,1126112,1615867
741000.000,1122738,1657286
746000.000,1104628,1667312
751000.000,1128373,1633711
756000.000,1153764,1676338
761000.000,1148375,1671461
766000.000,1171917,1680812
771000.000,1131681,1645916
776000.000,1135991,1665705
781000.000,1161580,1680185
786000.000,1153398,1689111
791000.000,1153705,1716348
796000.000,1173059,1702960
801000.000,1175603,1727894
806000.000,1189855,1740502
811000.000,1360644,1950427
816000.000,1261955,1784660
821000.000,1273747,1786750
826000.000,1228871,1857591
831000.000,1301184,1832989
836000.000,1262728,1834983
841000.000,1261248,1825758
846000.000,1264453,1855564
851000.000,1250214,1880359
856000.000,1335667,1884617
861000.000,1304627,1858340
866000.000,1319083,1881226
871000.000,1341284,1887166
876000.000,1306574,1903851
881000.000,1313254,1886472
886000.000,1318307,1940470
891000.000,1369391,1916899
896000.000,1374300,2018846
901000.000,1380273,1959828
906000.000,1358669,1972972
911000.000,1361708,2011538
916000.000,1332535,2024273
921000.000,1401037,2023433
926000.000,1345826,2024487
931000.000,1374994,1986419
936000.000,1431196,2084644
941000.000,1400920,2043306
946000.000,1415809,2030268
951000.000,1423415,2080436
956000.000,1430688,2082007
961000.000,1440128,2074131
966000.000,1445154,2110681
971000.000,1448178,2113112
976000.000,1459990,2177494
981000.000,1453747,2143949
986000.000,1465227,2131378
991000.000,1463287,2165838
996000.000,1480863,2207288
