Volatility,OptionPrice1,OptionPrice2,OptionPrice3,OptionPrice4
0.020,0.002,3.775,10.414,15.354
0.025,0.012,3.776,10.411,15.375
0.030,0.036,3.839,10.431,15.333
0.035,0.070,4.008,10.432,15.454
0.040,0.119,4.070,10.440,15.245
0.045,0.174,4.260,10.409,15.366
0.050,0.233,4.392,10.527,15.338
0.055,0.316,4.538,10.601,15.386
0.060,0.380,4.605,10.520,15.332
0.065,0.467,4.777,10.650,15.548
0.070,0.562,4.933,10.722,15.468
0.075,0.641,5.036,10.949,15.515
0.080,0.720,5.382,10.955,15.610
0.085,0.809,5.372,11.377,15.737
0.090,0.865,5.585,11.471,16.013
0.095,1.016,5.818,11.762,15.645
0.100,1.118,6.069,11.673,16.121
0.105,1.212,6.181,11.468,16.124
0.110,1.276,6.376,11.965,16.262
0.115,1.389,6.460,12.031,16.270
0.120,1.464,6.667,12.466,16.518
0.125,1.540,7.023,12.376,16.789
0.130,1.698,7.050,12.815,17.145
0.135,1.759,7.122,12.910,16.892
0.140,1.854,7.442,12.945,17.446
0.145,1.955,7.723,13.497,17.308
0.150,2.088,7.866,13.184,17.227
0.155,2.164,7.812,14.050,17.649
0.160,2.245,8.168,13.987,17.795
0.165,2.363,8.390,13.597,18.193
0.170,2.401,8.479,14.124,18.325
0.175,2.520,8.828,14.625,18.296
0.180,2.608,9.030,15.004,18.925
0.185,2.723,8.775,14.981,18.890
0.190,2.892,9.223,15.113,19.297
0.195,2.879,9.262,14.941,19.198
0.200,3.025,9.487,15.613,19.171
0.205,3.197,9.691,16.055,19.238
0.210,3.323,10.076,15.980,20.585
0.215,3.253,10.171,16.259,19.790
0.220,3.393,10.442,16.569,20.101
0.225,3.525,10.501,16.208,20.392
0.230,3.609,10.535,16.569,20.769
0.235,3.747,10.765,17.008,21.498
0.240,3.865,11.043,17.383,20.812
0.245,4.041,11.268,17.811,21.636
0.250,4.043,11.300,17.473,21.643
0.255,4.037,11.863,18.117,21.540
0.260,4.260,12.039,17.890,22.289
0.265,4.417,11.851,17.783,22.677
0.270,4.498,12.123,19.228,22.240
0.275,4.523,12.340,19.081,22.140
0.280,4.797,12.789,18.955,23.106
0.285,4.919,12.744,18.836,23.062
0.290,5.042,13.043,19.481,23.304
0.295,5.006,13.376,19.894,23.210
0.300,5.232,13.485,19.831,24.767
0.305,5.329,13.982,20.130,23.138
0.310,5.498,13.712,20.295,24.286
0.315,5.447,14.050,20.058,24.151
0.320,5.586,14.484,21.257,24.592
0.325,5.661,14.439,20.697,25.391
0.330,5.801,14.425,21.242,24.902
0.335,5.843,14.387,21.547,25.703
0.340,5.890,14.381,21.282,25.189
0.345,6.180,15.076,21.773,25.566
0.350,6.189,14.904,22.028,25.736
0.355,6.214,15.161,21.700,25.941
0.360,6.276,15.298,23.120,26.585
0.365,6.728,15.861,21.906,25.943
0.370,6.511,16.055,21.877,25.869
0.375,6.661,15.945,22.824,27.367
0.380,6.853,15.949,23.009,27.804
0.385,6.799,16.412,23.766,27.037
0.390,6.892,16.610,23.147,26.579
0.395,7.137,16.840,23.473,27.821
0.400,7.187,17.019,24.338,27.912
0.405,7.340,16.811,24.488,27.511
0.410,7.557,17.060,24.652,28.160
0.415,7.640,17.253,24.150,29.527
0.420,7.456,18.197,24.764,29.674
0.425,7.754,17.698,24.699,28.850
0.430,7.825,18.315,26.394,28.976
0.435,7.988,19.149,25.668,28.761
0.440,7.715,18.516,25.395,28.393
0.445,8.313,18.507,26.550,30.156
0.450,8.256,18.329,25.854,27.793
0.455,8.496,19.529,26.585,32.637
0.460,8.353,19.997,27.269,30.562
0.465,8.913,19.174,27.508,29.576
0.470,8.906,19.675,26.347,29.967
0.475,8.697,20.172,27.069,30.353
0.480,8.969,20.313,26.679,28.750
0.485,8.977,20.217,27.752,31.142
