SpotPrice,OptionPrice1,OptionPrice2,OptionPrice3,OptionPrice4
20.00,0.00,0.00,0.00,0.00
21.00,0.00,0.00,0.00,0.01
22.00,0.00,0.00,0.00,0.01
23.00,0.00,0.00,0.00,0.01
24.00,0.00,0.00,0.00,0.02
25.00,0.00,0.00,0.00,0.01
26.00,0.00,0.00,0.00,0.01
27.00,0.00,0.00,0.00,0.04
28.00,0.00,0.00,0.00,0.04
29.00,0.00,0.00,0.00,0.05
30.00,0.00,0.00,0.01,0.07
31.00,0.00,0.00,0.02,0.10
32.00,0.00,0.00,0.01,0.12
33.00,0.00,0.00,0.01,0.12
34.00,0.00,0.00,0.01,0.15
35.00,0.00,0.00,0.02,0.19
36.00,0.00,0.00,0.02,0.21
37.00,0.00,0.00,0.03,0.27
38.00,0.00,0.00,0.05,0.30
39.00,0.00,0.00,0.07,0.32
40.00,0.00,0.00,0.05,0.43
41.00,0.00,0.00,0.09,0.47
42.00,0.00,0.00,0.09,0.54
43.00,0.00,0.00,0.10,0.60
44.00,0.00,0.00,0.14,0.65
45.00,0.00,0.00,0.18,0.81
46.00,0.00,0.00,0.22,0.96
47.00,0.00,0.00,0.22,1.05
48.00,0.00,0.01,0.25,1.16
49.00,0.00,0.01,0.34,1.10
50.00,0.00,0.01,0.37,1.31
51.00,0.00,0.02,0.44,1.51
52.00,0.00,0.02,0.48,1.65
53.00,0.00,0.02,0.64,1.82
54.00,0.00,0.03,0.66,1.82
55.00,0.00,0.06,0.74,2.25
56.00,0.00,0.05,0.80,2.26
57.00,0.00,0.06,0.92,2.42
58.00,0.00,0.09,0.99,2.59
59.00,0.00,0.10,1.10,2.81
60.00,0.00,0.12,1.34,2.90
61.00,0.00,0.17,1.45,3.39
62.00,0.00,0.17,1.58,3.54
63.00,0.00,0.23,1.64,3.78
64.00,0.00,0.28,1.88,3.88
65.00,0.00,0.33,2.09,4.35
66.00,0.00,0.39,2.08,4.49
67.00,0.00,0.43,2.49,4.99
68.00,0.00,0.50,2.70,5.16
69.00,0.00,0.49,2.87,5.52
70.00,0.00,0.58,2.93,5.76
71.00,0.00,0.72,3.30,6.00
72.00,0.00,0.87,3.54,6.32
73.00,0.00,0.90,3.90,6.96
74.00,0.00,1.06,4.00,7.30
75.00,0.01,1.23,4.51,7.75
76.00,0.01,1.29,4.76,7.88
77.00,0.01,1.50,5.04,8.65
78.00,0.03,1.70,5.27,8.36
79.00,0.03,1.84,5.57,9.13
80.00,0.04,2.06,5.99,9.42
81.00,0.06,2.31,6.41,10.12
82.00,0.09,2.40,6.71,10.48
83.00,0.10,2.85,7.02,11.05
84.00,0.14,3.03,7.42,11.33
