NumSimulations,PriceDiffNaive,PriceDiffAntithetic
1000,0.53,0.25
6000,0.18,0.10
11000,0.07,0.15
16000,0.12,0.06
21000,0.09,0.05
26000,0.06,0.01
31000,0.03,0.02
36000,0.01,0.04
41000,0.13,0.08
46000,0.07,0.01
51000,0.01,0.04
56000,0.00,0.00
61000,0.01,0.01
66000,0.01,0.00
71000,0.04,0.01
76000,0.01,0.00
81000,0.04,0.04
86000,0.03,0.01
91000,0.07,0.03
96000,0.01,0.01
101000,0.02,0.03
106000,0.01,0.01
111000,0.01,0.00
116000,0.00,0.01
121000,0.04,0.02
126000,0.03,0.03
131000,0.04,0.02
136000,0.01,0.03
141000,0.00,0.01
146000,0.00,0.02
151000,0.02,0.01
156000,0.00,0.00
161000,0.01,0.02
166000,0.00,0.01
171000,0.01,0.01
176000,0.02,0.02
181000,0.03,0.02
186000,0.01,0.02
191000,0.01,0.00
196000,0.01,0.00
201000,0.02,0.00
206000,0.00,0.00
211000,0.00,0.03
216000,0.01,0.00
221000,0.00,0.01
226000,0.00,0.01
231000,0.01,0.02
236000,0.00,0.00
241000,0.01,0.01
246000,0.00,0.01
251000,0.03,0.00
256000,0.02,0.01
261000,0.01,0.01
266000,0.00,0.01
271000,0.00,0.00
276000,0.01,0.01
281000,0.02,0.01
286000,0.00,0.01
291000,0.01,0.01
296000,0.00,0.02
301000,0.01,0.00
306000,0.01,0.00
311000,0.01,0.02
316000,0.01,0.00
321000,0.02,0.02
326000,0.00,0.03
331000,0.00,0.01
336000,0.02,0.03
341000,0.01,0.01
346000,0.00,0.00
351000,0.01,0.02
356000,0.02,0.01
361000,0.00,0.00
366000,0.01,0.00
371000,0.01,0.01
376000,0.00,0.00
381000,0.02,0.03
386000,0.02,0.01
391000,0.02,0.03
396000,0.02,0.01
401000,0.01,0.00
406000,0.00,0.00
411000,0.03,0.01
416000,0.00,0.00
421000,0.01,0.01
426000,0.02,0.00
431000,0.01,0.00
436000,0.00,0.01
441000,0.00,0.01
446000,0.00,0.00
451000,0.01,0.01
456000,0.03,0.02
461000,0.00,0.01
466000,0.01,0.00
471000,0.01,0.01
476000,0.01,0.02
481000,0.01,0.01
486000,0.02,0.00
491000,0.01,0.01
496000,0.01,0.01
501000,0.00,0.01
506000,0.00,0.00
511000,0.01,0.01
516000,0.01,0.00
521000,0.01,0.01
526000,0.02,0.02
531000,0.01,0.01
536000,0.01,0.01
541000,0.01,0.00
546000,0.01,0.01
551000,0.01,0.01
556000,0.00,0.02
561000,0.00,0.01
566000,0.01,0.01
571000,0.01,0.00
576000,0.01,0.01
581000,0.02,0.01
586000,0.01,0.00
591000,0.02,0.02
596000,0.01,0.00
601000,0.01,0.00
606000,0.01,0.00
611000,0.00,0.00
616000,0.01,0.01
621000,0.01,0.01
626000,0.00,0.00
631000,0.02,0.01
636000,0.01,0.01
641000,0.01,0.01
646000,0.00,0.01
651000,0.01,0.01
656000,0.00,0.01
661000,0.00,0.00
666000,0.01,0.01
671000,0.01,0.01
676000,0.01,0.00
681000,0.02,0.02
686000,0.00,0.00
691000,0.00,0.00
696000,0.01,0.00
701000,0.01,0.00
706000,0.00,0.01
711000,0.00,0.00
716000,0.01,0.01
721000,0.01,0.00
726000,0.00,0.01
731000,0.00,0.00
736000,0.03,0.01
741000,0.01,0.01
746000,0.01,0.00
751000,0.00,0.01
756000,0.00,0.01
761000,0.01,0.01
766000,0.01,0.00
771000,0.01,0.02
776000,0.01,0.01
781000,0.00,0.01
786000,0.01,0.00
791000,0.00,0.00
796000,0.00,0.01
801000,0.02,0.01
806000,0.00,0.01
811000,0.01,0.01
816000,0.00,0.01
821000,0.01,0.00
826000,0.00,0.00
831000,0.00,0.00
836000,0.01,0.01
841000,0.00,0.00
846000,0.01,0.00
851000,0.01,0.01
856000,0.02,0.01
861000,0.00,0.00
866000,0.00,0.00
871000,0.01,0.00
876000,0.02,0.01
881000,0.00,0.00
886000,0.01,0.01
891000,0.00,0.01
896000,0.01,0.01
901000,0.01,0.00
906000,0.01,0.01
911000,0.01,0.01
916000,0.00,0.01
921000,0.00,0.01
926000,0.01,0.00
931000,0.01,0.00
936000,0.00,0.01
941000,0.01,0.01
946000,0.01,0.01
951000,0.01,0.01
956000,0.01,0.01
961000,0.01,0.01
966000,0.00,0.00
971000,0.00,0.00
976000,0.00,0.00
981000,0.00,0.00
986000,0.00,0.01
991000,0.00,0.01
996000,0.02,0.01
